source_gt,program,code,name_th,name_en,year,semester,pages
หมวดศึกษาทั่วไป (general_education),AIT,90642001,ปฏิบัติงานตามทักษะด้านบุคคลและสนับสนุนวิชาชีพ 1,PRACTICE UNDER PERSONAL AND PROFESSIONAL SKILLS 1,,,ocr121
หมวดศึกษาทั่วไป (general_education),AIT,90642002,ปฏิบัติงานตามทักษะด้านบุคคลและสนับสนุนวิชาชีพ 2,PRACTICE UNDER PERSONAL AND PROFESSIONAL SKILLS 2,,,ocr121;ocr238;ocr241
หมวดศึกษาทั่วไป (general_education),AIT,90642003,ปฏิบัติงานตามทักษะด้านบุคคลและสนับสนุนวิชาชีพ 3,PRACTICE UNDER PERSONAL AND PROFESSIONAL SKILLS 3,,,ocr121;ocr131;ocr146;ocr238
หมวดศึกษาทั่วไป (general_education),AIT,90642004,การคิดวิเคราะห์,ANALYTICAL THINKING,,,ocr238
หมวดศึกษาทั่วไป (general_education),AIT,90642006,การคิดเชิงนวัตกรรม,INNOVATIVE THINKING,,,ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642011,การคิดอย่างมีวิจารณญาณ,CRITICAL THINKING,,,ocr121;ocr147
หมวดศึกษาทั่วไป (general_education),AIT,90642012,กระบวนการคิดเชิงออกแบบ,DESIGN THINKING,,,ocr121;ocr147;ocr25;ocr36
หมวดศึกษาทั่วไป (general_education),AIT,90642014,การคิดเชิงระบบและเชิงนวัตกรรม,INNOVATIVE AND SYSTEM THINKING,,,ocr148;ocr238
หมวดศึกษาทั่วไป (general_education),AIT,90642015,การคิดสร้างสรรค์และนวัตกรรม,CREATIVE THINKING AND INNOVATION,,,ocr148;ocr238
หมวดศึกษาทั่วไป (general_education),AIT,90642017,แกะกล่องนวัตกรรม,INNOVATION UNBOXED,,,ocr238
หมวดศึกษาทั่วไป (general_education),AIT,90642018,เทคโนโลยีการผลิตงานสร้างสรรค์,CREATIVE PRODUCTION TECHNOLOGY,,,ocr149;ocr238
หมวดศึกษาทั่วไป (general_education),AIT,90642019,การออกแบบสะเต็มอย่างสร้างสรรค์ขั้นพื้นฐาน,BASIC CREATIVE STEM DESIGN,,,ocr149;ocr238
หมวดศึกษาทั่วไป (general_education),AIT,90642020,การออกแบบสะเต็มอย่างสร้างสรรค์ขั้นสูง,ADVANCE CREATIVE STEM DESIGN,,,ocr149
หมวดศึกษาทั่วไป (general_education),AIT,90642021,ไอเดียขยะ,JUNK DESIGN,,,ocr121;ocr150;ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642022,ปรัชญาวิทยาศาสตร์,PHILOSOPHY OF SCIENCE,,,ocr121;ocr150
หมวดศึกษาทั่วไป (general_education),AIT,90642024,การวิเคราะห์ข้อมูลทางวิชาชีพและการนำเสนอทางวิชาการ,PROFESSIONAL INFORMATION ANALYSIS AND ACADEMIC PRESENTATION,,,ocr122;ocr150;ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642025,วิเคราะห์ความจริงจากตัวเลข,FATCS BEHIND NUMBERS,,,ocr122;ocr151
หมวดศึกษาทั่วไป (general_education),AIT,90642026,การพัฒนาทักษะเชิงวิจัย,RESEARCH SKILL DEVELOPMENT,,,ocr122;ocr151
หมวดศึกษาทั่วไป (general_education),AIT,90642028,รู้เท่าทันการพนัน,GAMBLING LITERACY,,,ocr122
หมวดศึกษาทั่วไป (general_education),AIT,90642029,จริยธรรมและกฎหมายว่าด้วยความเป็นมืออาชีพทางการแพทย์,"MEDICAL ETHICS, LAWS AND PROFESSIONALOSM",,,ocr122;ocr152;ocr239
หมวดศึกษาทั่วไป (general_education),AIT,90642030,จรรยาบรรณและกฎหมายวิศวกรรม,ENGINEERING ETHICS AND LAWS,,,ocr152;ocr239
